surah_id,surah_myanmar_name
74,"‘လူ့ဘောင်သစ်ကို ဆောင်ကြဉ်းလာသူ’ ကဏ္ဍ (၇၄)"
75,"‘ရလဒ်များ အပြည့်အဝ ပုံပေါ်လာသော’ ကဏ္ဍ (၇၅)"
76,"‘အစုအဖွဲ့နှင့် ပေါင်းစည်းနေထိုင်သောလူသား’ ကဏ္ဍ (၇၆)"
77,"‘စေလွှတ်ခံရသူများ’ ကဏ္ဍ (၇၇)"
78,"‘မုသားကင်းသော သတင်းကြီး’ ကဏ္ဍ (၇၈)"
79,"‘ဆွဲယူ ဖော်ထုတ်ပေးသူများ’ ကဏ္ဍ (၇၉)"
80,"‘မျက်မှောင်ကြုတ်သည်’ ကဏ္ဍ (၈၀)"
81,"‘ရစ်ပတ်၊ လိပ်ခေါက်ခြင်း’ ကဏ္ဍ (၈၁)"
82,"‘အက်ကွဲ၊ စုတ်ပြတ်ခြင်း’ ကဏ္ဍ (၈၂)"
83,"‘စီးပွားရေးတွင် ဖြောင့်မတ်မှု မရှိခြင်း’ ကဏ္ဍ (၈၃)"
84,"‘အက်ကွဲခြင်း’ ကဏ္ဍ (၈၄)"
85,"‘နဂါးငွေ့တန်းများ’ ကဏ္ဍ (၈၅)"
86,"‘အမှောင်ခွင်း၍ အလင်းဆောင်သူ’ ကဏ္ဍ (၈၆)"
87,"‘အထွတ်အထိပ်’ ကဏ္ဍ (၈၇)"
88,"‘ဖုံးလွှမ်းမည့်ဖြစ်ရပ်’ ကဏ္ဍ (၈၈)"
89,"‘ထွင်းဖောက်မှုစွမ်းရည်’ ကဏ္ဍ (၈၉)"
90,"‘မြို့တော်’ ကဏ္ဍ (၉၀)"
91,"‘သူရိယ(နေ)’ ကဏ္ဍ (၉၁)"
92,"‘ညဥ့်အမှောင်’ ကဏ္ဍ (၉၂)"
93,"‘ထွန်းတောက်ချိန်’ ကဏ္ဍ (၉၃)"
94,"‘ကျယ်ဝန်းစေခြင်း’ ကဏ္ဍ (၉၄)"
95,"‘သဖန်းတောင်’ ကဏ္ဍ (၉၅)"
96,"‘တွယ်ကပ်ခြင်း’ ကဏ္ဍ (၉၆)"
97,"‘စံတန်ဖိုးသတ်မှတ်ခြင်း’ ကဏ္ဍ (၉၇)"
98,"‘ရှင်းလင်းသော အထောက်အထား’ ကဏ္ဍ (၉၈)"
99,"‘ထက်အောက် လှန်လှောခြင်း’ ကဏ္ဍ (၉၉)"
100,"‘အရှိန်အဟုန်ဖြင့် ပြေးလွှားသောမြင်းများ’ ကဏ္ဍ (၁၀၀)"
101,"‘ဆိုးရွားသော အကျိုးဆက်’ ကဏ္ဍ (၁၀၁)"
102,"‘ပေါများကြွယ်ဝရန် ပြိုင်ဆိုင်ခြင်း’ ကဏ္ဍ (၁၀၂)"
103,"‘ခေတ်ကာလ(ဝါ)လူ့သမိုင်း’ ကဏ္ဍ (၁၀၃)"
