"Ayat_id","mm_Translation","multi_ayats"
1,"ချို့တဲ့မှုကင်း၍ အတုမဲ့ဖြစ်သောအရှင်သည် ညတစ်ည၌ မိမိ၏ ဩဇာခံအား အလ်မတ်စ်ဂျိဒွတ်လ် ဟရာမ်မှ 1077 အလ်မတ်စ်ဂျိဒွတ်လ် အက္ကဆွော်သို့ 1078 သို့ ခရီးထွက်စေခဲ့၏။ ယင်း (မတ်စ်ဂျိဒွတ်လ် အက္ကဆွော်) ၏ ဝန်းကျင်ကို ငါသည် စည်ပင်တိုးတက်စေခဲ့၏။ (သို့ခရီးထွက်စေခြင်းမှာ) ငါသည် သူ့အား မိမိ၏ အာယားသ် (သက်သေပြ လမ်းညွှန်များ) မှ 1079 အချို့ကို ပြသရန် ဖြစ်၏။ ဧကန်အမှန် အရှင်သည် ကြားနာမှုနှင့် ထိုးထွင်းသိမြင်မှုတို့၏ အခြေအမြစ် ဖြစ်၏။",""
2,"စင်စစ် ငါသည် မူဆာအား ဥပဒေကျမ်း ချီးမြှင့်ခဲ့၏။ ထို့ပြင် ယင်း (ဥပဒေကျမ်း) ကို အိစ်ရာအီလ်၏ သားမြေးတို့အဖို့ (လူ့ဘဝ) လမ်းညွှန်အဖြစ် စီမံခဲ့၏။ (ယင်းဥပဒေကျမ်း၌) သင်တို့သည် အလ္လာ့ဟ် အား စွန့်၍ (မည်သည့်တစ်စုံတစ်ရာကိုမျှ မိမိတို့၏ အရေးကိစ္စများကို) ကြီးကြပ်အုပ်ထိန်းသူအဖြစ် မသတ်မှတ် ကြရန် (ညွှန်ကြားချက်လည်း ပါဝင်၏)။",""
3,"သူတို့သည် နူးဟ်နှင့်အတူ (ရေယာဉ်ပေါ်) ငါ သယ်ဆောင်လာသူတို့၏ သားမြေးများ ဖြစ်ကြ၏။ သူသည် လွန်စွာ ကျေးဇူးသိတတ်သော ဩဇာခံတစ်ဦး အမှန်ပင် ဖြစ်ခဲ့၏။@နူးဟ်",""
4,"ငါသည် အိစ်ရာအီလ်၏ သားမြေးတို့အား ဥပဒေကျမ်း၌ “ဧကန်မလွဲ သင်တို့သည် တိုင်းပြည်၌ နှစ်ကြိမ် တိုင်အောင် တည်ငြိမ်မှုနှင့် ညီညွတ်မျှတမှုတို့ကို ဖျက်ဆီးကြပေမည်။ ထို့ပြင် ကြီးမားစွာ ဆူပူသောင်းကျန်း ကြမည်” ဟု ပြတ်သားစွာ သတိပေးခဲ့၏။",""
5,"တစ်ဖန် ထိုနှစ်ကြိမ်အနက် ပထမအကြိမ်နှင့်စပ်လျဉ်း၍ ဖြည့်ဆည်းချိန် ဆိုက်ရောက်လာသောအခါ၊ ငါသည် တိုက်ရည်ခိုက်ရည် ပြင်းထန်သော ငါ၏ ဩဇာခံများကို သင်တို့အပေါ် လွှမ်းမိုးစေခဲ့၏။ သို့ဖြစ်ရာ သူတို့သည် တိုင်းပြည်သို့ ဝင်ရောက်စီးနင်း တိုက်ခိုက်ခဲ့ကြ၏။ စင်စစ် ဤသည် (တုံ့ပြန်ရလဒ်နှင့် ပတ်သက် သော) ဖြစ်မြောက်မည့် ကတိပင် ဖြစ်၏။",""
6,"ထို့နောက် ငါသည် သင်တို့အား သူတို့အပေါ်၌ တစ်လှည့် လွှမ်းမိုးစေခဲ့၏။ သင်တို့အား ဥစ္စာပစ္စည်းများနှင့် သားသမီးများအားဖြင့် ကူညီခဲ့၏။ သင်တို့အား လူဦးရေအားဖြင့်လည်း များပြားစေခဲ့၏။",""
7,"သင်တို့သည် ဘဝကို မျှတညီညွတ်စွာ ဖွံ့ဖြိုးလာရန် တည်ဆောက်ကြလျှင် ထိုတည်ဆောက်မှု၏ အကျိုး ဆက် သည် သင်တို့အဖို့သာ ဖြစ်၏။ ဆိုးရွားစွာ တည်ဆောက်ကြလျှင်လည်း သင်တို့၌သာ သက်ရောက် ၏။ တဖန် ထိုနှစ်ကြိမ်အနက် ဒုတိယအကြိမ်နှင့်စပ်လျဉ်း၍ ဖြည့်ဆည်းချိန် ဆိုက်ရောက်လာ သောအခါ၊ ရန်သူတို့ သည် သင်တို့၏ ဂုဏ်သိက္ခာများကို 1080 ဖျက်ဆီးကြရန်၊ (သင်တို့၏ စုဝေးရာ) မတ်စ်ဂျိဒ်သို့ ပထမအကြိမ် ဝင်ရောက်ခဲ့ကြသည့်အတိုင်း ဝင်ရောက်ကြရန်နှင့် သူတို့ သိမ်းပိုက်ကြသမျှတို့ကို ဖျက်ဆီးကြရန် လွှမ်းမိုးစေခဲ့ ၏။",""
8,"(သင်တို့ ပြုပြင်ကြလျှင် မူလက ဆုံးရှုံးခဲ့ကြသော) လုံခြုံမှုပါဝင်သည့် ထောက်ပံ့မြှင့်တင်မှုကို သင်တို့ အား ပျိုးထောင်မှုစနစ်နှင့်အညီ ဖွံ့ဖြိုးစေသောအရှင်က ပြန်လည်သက်ရောက်စေမည်ကို မျှော်လင့် နိုင်ပေမည်။ အကယ်၍ သင်တို့ ယခင်နည်းတူ ပြုကျင့်ကြလျှင်၊ ငါသည်လည်း ယခင်နည်းတူ ရလဒ်ကို တုံ့ပြန်ဖြစ်ပေါ်စေ မည်။ စင်စစ် ငါသည် လုံခြုံမှုကို ဆန့်ကျင်ကြသောသူတို့အဖို့ ဂျဟန္နန်မ် (လူ့အရည် အသွေး ကျဆင်းရာ) ကို အကျဉ်းထောင်အဖြစ် စီမံထား၏။",""
9,"ဧကန်အမှန် ဤကုရ်အာန်သည် အဖြောင့်မတ်ဆုံး လမ်းစဉ်ကို ညွှန်ပြ၏။ 1081 ထို့ပြင် ပြုပြင်ပြောင်းလဲ မှုကို ကျင့်သုံး ပုံဖော်ကြသော မုအ်မင်န် (လုံခြုံမှုကို ယုံကြည်ချက်ဖြင့် တည်ဆောက်ကြသောသူ) တို့ အဖို့ ကြီးမားလှသော ကောင်းကျိုးရှိကြောင်း သတင်းကောင်းကို ပေး၏။",""
10,"စင်စစ် အနာဂတ် ရှင်သန်မှုကို မယုံကြည် (ဘဲ လတ်တလောအကျိုးအမြတ်အတွက်သာ အာရုံစိုက်နေ ကြ) သောသူတို့အဖို့ ငါသည် နာကျင်ဖွယ်ဖြစ်သော အရေးယူ ဒဏ်ခတ်မှုကို ပြင်ဆင်ထားကြောင်း (ကို လည်း ကုရ်အာန်က သတင်းပေး၏)။",""
