"notes_id","explanation"
1476,"(يَاءٌ، سِيْنٌ) ‘ယာအ်၊ စီးန်’ ဟူသော (حُرُوْفٌ مُّقَطَّعَاتٌ) “သင်္ခေပ အက္ခရာများ” ၏ အနက်သဘော များမှာ အောက်ပါ အတိုင်း ဖြစ်ပေသည်။#“လုံးကောက်အနက်”# يَاءٌ: يَا، أَيُّهَا ‘ယာအ်’ ‘အိုက်ယုဟာ’ အို- # سِيْنٌ: إِنْسَانٌ، أَنِيْسِيْنٌ ‘စီးန်’ လူသား #“အို-လူသား” (ဗိုင်ဿွာဝီ) (အိဗ်နု ဂျရီရ်) (တစ်နည်း) # يَاءٌ: يَا، أَيُّهَا ‘ယာအ်’ ‘အိုက်ယုဟာ’အို- # سِيْنٌ: مُحَمَّدٌ ‘စီးန်’ မုဟမ္မဒ် (ﷺ) #“အို-မုဟမ္မဒ်” စသဖြင့် ဖြစ်သည်။ (ဒွတ်ရ်ရိ မန် (န်) ဆူးရ်) # يَاءٌ: يَا، أَيُّهَا ‘ယာအ်’ ‘အိုက်ယုဟာ’ အို- # سِيْنٌ: رَئِيْسٌ ‘စီးန်’ ခေါင်းဆောင် #“အို-ခေါင်းဆောင်” စသဖြင့် ဖြစ်သည်။ (သာဂျုလ်အုရူးစ်) #အင်္ဂလိပ် ဘာသာဖြင့် ရေးသား ထားသော (The Linguistic Miracle) “ဘာသာစကား၏ ထူးခြားချက်” အမည်ရှိ ကျမ်းငယ်အရ-# (يَاءٌ) ‘ယာအ်’ ၏ အနက်သဘောမှာ- “ပြုလုပ်နိုင်စွမ်း၊ အင်အား၊ ဩဇာအာဏာ” ဟူ၍ ဖြစ်ပြီး၊# (سِيْنٌ) ‘စီးန်’ ၏ အနက်သဘောမှာ- “ရှေ့တိုးခြင်း၊ တိုးတက်ခြင်း၊ ရှေ့ဆက်သွားခြင်း၊ စွမ်းအား စီးဆင်းခြင်း၊ ထောက်ပံ့ခြင်း၊ ထောက်ခံခြင်း” စသဖြင့် ဖြစ်သည်။ ထိုသဘောတရား အရ “မိမိ၏ အစွမ်းအစ၊ ဩဇာအာဏာ အားဖြင့် တိုးတက်လာရန် ပြုလုပ် ဆောင်ရွက်သူ” ကို ရည်ညွှန်းသည်။ တစ်နည်းအားဖြင့် မုဟမ္မဒ် ရစူလ် (ﷺ) သည် ဝဟ်ယ် (လျှို့ဝှက် ဆက်သွယ်မှု အားဖြင့် ချမှတ် ပေးအပ်သော လူ့ဘဝ လမ်းညွှန်မှု) နှင့်အညီ မိမိ၏ အင်အား၊ ဩဇာအာဏာ အားဖြင့် တိုးတက်လာရန် ဆောင်ရွက်ဖို့၊ မိမိ လျှောက်လှမ်းမှု ကိုရှေ့ဆက် သွားနိုင်ရန်နှင့် စီးဆင်း နေရန်အတွက် နှိုးဆော်ခြင်း ဖြစ်ပေသည်။ တစ်ဆက်တည်း တွင် မုဟမ္မဒ် ရစူလ် (ﷺ) ၏ အွန်မ္မဟ် အနေနှင့်လည်း ရစူလ်၏ အွန်မ္မဟ်ပီပီ ထိုတာဝန်ကို ဆက်လက် ဆောင်ရွက် ရပေမည်။#ဤတွင် ကုရ်အာန် သုတေသီ ဦးဇော်ဇော်၏ သုံးသပ်ပုံကိုလည်း ဗဟုသုတ ရစေခြင်းငှာ ဖော်ပြ အပ်ပါသည်။# (يَاءٌ) ‘ယာအ်’ ၏ အနက်သဘောမှာ- “စဉ်ဆက်မပြတ် စွဲမြဲစွာ လုပ်ကိုင်ခြင်း” ဟူ၍ ဖြစ်၏။# (سِيْنٌ) ‘စီးန်’ ၏ အနက်သဘောမှာ- “ထိုးဖောက် ဝင်ရောက်မှု၊ ကြိုးစား အားထုတ်မှု၊ သတ်မှတ် ထားသော ပန်းတိုင်သို့ ရောက်ရှိရန် ကြိုးစား အားထုတ်ခြင်း၊ ရည်ရွယ်သော အရာများ လက်တွေ့ ဖြစ်လာရန် ထိန်းသိမ်း စောင့်ရှောက်မှု အပြည့်ဖြင့် သွားခြင်း၊ ပြေးလွှား ရုန်းကန် ကြိုးစားခြင်း” စသဖြင့် ဖြစ်သည်။# (سِيْنٌ) ‘စီးန်’ ၏ အပေါ်တွင် ရှိသော (ـــــٓــــ) ‘မဒ်’ ၏ အဓိပ္ပာယ်မှာ- “တဆင့်ပြီး တဆင့် စနစ်ကျစွာ ပြန့်ကား လာခြင်း၊ ပြောင်းလဲ လာခြင်း” ဟူ၍ ဖြစ်၏။ ယာအ်၊ စီးန်နှင့် မဒ်တို့အား ပေါင်းစပ် လိုက်သောအခါ၊ “လိုချင်သော ပန်းတိုင်သို့ ရောက်စေရန် တဆင့်ပြီး တဆင့် စဉ်ဆက်မပြတ် ကြိုးစား အားထုတ်၍ သွားခြင်း၊ လျှောက်လှမ်း၍ သွားခြင်း၊ စနစ်ကျစွာ ပြောင်းလဲ သွားခြင်း” ဟူ၍ ဖြစ်၏။ #[ကြည့်။ [36:1-2] [36:6-9] [36:20]]# (يٰسٓ) ‘ယာ၊ စီးန်’ နှင့်ပတ်သက်၍ အခြား အဆိုများကို ကုရ်အာန် အလင်းပြကျမ်း၊ အစောင် ၂၂၊ စာမျက်နှာ ၅၂၁-၅၂၂၊ အောက်ခြေ အမှတ် 3166 တွင် လေ့လာ နိုင်ပါသည်။#ဤသည် အဆုံးသတ် ဖွင့်ဆိုမှုများ မဟုတ်ကြောင်း အထူး သတိပြု အပ်ပေသည်။ ကုရ်အာ့န် အခြေခံမူနှင့် ကိုက်ညီသည့် မည်သည့် ဖွင့်ဆိုမှု ကိုမဆို ဆက်လက် ဖော်ထုတ်၊ ဖွင့်ဆို နိုင်ပေသည်။"
1477,"‘လည်ကုပ် များတွင် လည်ကွင်း များကို စီမံထားရာ မေးစေ့များ အထိ ရောက်နေခြင်း’ ဟူသည် မသိ မိုက်မဲမှုနှင့် အစဉ်အလာ ဆိုးများ လွှမ်းမိုး ခံထားရခြင်း နှင့် သတိပေး နှိုးဆော်မှုကို နာယူခြင်း မရှိဘဲ၊ မာန်တက်လျက် ဦးမော့ နေပုံကို တင်စား သုံးနှုန်းခြင်း ဖြစ်ပေသည်။ ထိုသို့ဖြင့် လူ့ဘဝ လမ်းမှန်ကို မမြင်ဘဲ ရှိနေကြ၏။"
1478,"‘ရှေ့နှင့် နောက်မှ အကာအဆီး ဖြစ်ပေါ် လာခြင်းနှင့် အထက်မှ အမှောင်ထု ဖုံးလွှမ်းခြင်း’ ဟူသည်-#1. ကုရ်အာန်မှ ရည်ညွှန်းသော အနာဂတ်ခရီးတွင် ကြုံတွေ့ရမည့် အခြေအနေ မှန်များကို တွက်ဆနိုင်စွမ်း မရှိတော့သည့် အတွက် မှန်ကန်သော လူ့ဘဝ လမ်းစဉ်ကို ရွေးချယ်ရန် မဖြစ် နိုင်တော့ချေ။ ဤသည် ရှေ့၌ အကာအဆီး ဖြစ်ပေါ်မှု၏ ပြယုဂ် ဖြစ်ပေသည်။#2. ကုရ်အာန်မှ တင်ပြလာသော အတိတ်သမိုင်းကို လေ့လာ၍ သင်ခန်းစာ ယူရမည့်အစား၊ မလို မုန်းထားသော စိတ်ရိုင်းများ ကိုသာ ဆက်လက် စွဲကိုင် ထားသောကြောင့် အမှန်တရားနှင့် ဝေးသည်ထက် ဝေးနေပုံကို နောက်၌ တည်ရှိသော အကာအဆီး ဟုတင်စား ထားခြင်း ဖြစ်ပေသည်။#3. အထက်မှ အမှောင်ထု ဖုံးလွှမ်းခြင်း ဟူသည် မိရိုးဖလာ အစဉ်အလာများ အပေါ် မှန်၏၊ မှား၏ ဆိုသည်ကို သုံးသပ် ဆင်ခြင်မှု မပြုနိုင်ဘဲ တစ်ဘဝလုံး မသိ မိုက်မဲမှု၌ ကျရောက် နေပုံကို ပြဆို ခြင်းဖြစ်၏။ သို့ဖြင့် လူ့ဘဝ လမ်းမှန်ကို သိမြင် နိုင်စွမ်း မရှိတော့ချေ။#ဤသို့ ဖြစ်ရခြင်းမှာ အလ္လာဟ် ပြဋ္ဌာန်းအပ်သော တုံ့ပြန်ရလဒ် အရ ပုံပေါ်လာသည့် ဆိုးကျိုးများ သာဖြစ်၏။ အရှင့် ဥပဒေ၌ အကြောင်းမဲ့ မည်သူ့ကိုမျှ လမ်းမှန်မှ တိမ်းပါးစေသည် မရှိချေ။"
1479,"[36:13] တွင် ရည်ညွှန်းသော (أَصْحَابُ الْقَرْيَةِ) ‘အဆွ်ဟာဗုလ် ကရ်ယဟ်’ “မြို့ရွာသားများ” ဟူသည် မည်သည့် မြို့ရွာသားများ ဖြစ်သနည်း။ ဤအကြောင်းကို တိကျစွာ ဖော်ပြရန် မဖြစ်နိုင်ချေ။ ကျမ်းမြတ် ကုရ်အာန်က မြို့တမြို့၏ နေထိုင်သူများ အကြောင်းကို သင်ခန်းစာ ယူနိုင်ရန်ကိုသာ ရည်ရွယ်ထား၏။ ထို့ကြောင့် ကျွန်ုပ်တို့ အနေနှင့် သင်ခန်းစာ ရယူခြင်း သည်ပင် လုံလောက်ပါ၏။ ဤအာယဟ်များ [36:26-27] တွင် ဖော်ပြထားချက်မှာ သူတော် ကောင်းတို့၏ မြင့်မြတ်သော ကိုယ်ကျင့်တရား အရ ရရှိလာမည့် ကောင်းကျိုး များကို တင်ကြို၍ အသိပေး ခြင်းမျှ ဖြစ်ပေသည်။ ထို့ပြင် သူတော်ကောင်း တို့သည် မိမိတို့ ရရှိခံစား ကြရသော ကောင်းကျိုး များနည်းတူ အခြား သူတို့အားလည်း ရရှိခံစား လိုကြသည်။ ထိုစိတ်ဓာတ် မြင့်မြတ်မှုကို အာယဟ်၌ ဖော်ပြခြင်း ဖြစ်ပေသည်။ ပညာရှင် အချို့က မြို့စွန်မှ အပြေးအလွှား ရောက်လာသော ပုဂ္ဂိုလ်သည် အသတ်ခံ လိုက်ရပြီး၊ ဂျန္နဟ်သို့ တန်း၍ ရောက်သွားသည်ဟု ယူဆကြ၏။ အာယဟ်၏ အသုံးအနှုန်း များအပေါ် ထောက်ရှု ခြင်းဖြင့် အသတ် ခံရသည်ဟု လုံးဝ ယူဆ၍ မရပါ။ အချို့က အာယဟ် ၁၅ မှ ၁၇ အထိတွင် ဖော်ပြ ထားသော ရစူလ် တို့သည်လည်း အသတ်ခံ လိုက်ကြရသည် ဟုယူဆကြ၏။ ထိုယူဆချက် အတွက်လည်း ကုရ်အာန်၌ အထောက်အထား တစုံတရာမျှ မရှိချေ။ ဤသည် ထင်မြင် ယူဆချက် သက်သက်သာ ဖြစ်၏။"
1480,"(صَيْحَةٌ) ‘ဆွိုက်ဟဟ်’ “ပြင်းထန်သောအသံ” နှင့်ပတ်သက်၍ [11:67] အောက်ခြေ (၉၃၃) တွင်လည်း ဖော်ပြခဲ့ပြီး ဖြစ်သည်။ ထိုအသံသည် မြေငလျင်၊ သို့မဟုတ် မီးတောင် ပေါက်ကွဲခြင်း၊ သို့မဟုတ် တုန်လှုပ် ချောက်ချား စေသော ထိပ်တိုက် ရင်ဆိုင်မှုများ စသည်တို့ကြောင့် ပေါ်ပေါက် လာသော အသံ လှိုင်းကြီးကို ရည်ညွှန်းသည်။ ထိုအသံ လှိုင်းကြောင့် သူတို့သည် လှုပ်ရှား ရုန်းကန် နိုင်စွမ်းပင် မရှိတော့ ကြောင်း အာယဟ်၌ ဆိုထား၏။ ဤသည်ကား အကျိုးဆက် အဖြစ် ပုံပေါ် ခြင်းပင် ဖြစ်၏။"
1481,"ဤအာယဟ်တွင် အလ္လာဟ်၏ ဖြစ်ထွန်း စေမှုစနစ် (خَلَقَ) ‘ခလကွော့’ ၌ အခြေခံအားဖြင့် တည်ရှိနေသော (زَوْجٌ ج: أَزْوَاجٌ) ‘ဇောက်ဂျ်’ ဗဟုဝုစ် ‘အဇ်ဝါးဂျ်’ ၏ အရေးပါမှုကို မီးမောင်း ထိုးပြထားသည်။ (خَلَقَ) ‘ခလကွော့’ သည် သက်ရှိများ အပါအဝင် အရာခပ်သိမ်း တို့၏ ဆက်လက် ရှင်သန် ဖြစ်ထွန်းမှု အတွက် သုံးနှုန်းသော ဝေါဟာရဖြစ် ပေသည်။ ၎င်းကို အလ္လာဟ်၏ ဖြစ်ထွန်းစေမှု နိယာမဟု နားလည် နိုင်ပေသည်။ (خَلَقَ) ‘ခလကွော့’ သည် (فَطَرَ) ‘ဖှတွော့ရ’ “စတင် ဖြစ်ထွန်းခြင်း” ၏ နောက်မှ လိုက်သော နိယာမ ဖြစ်၏။ အရာတိုင်း၏ စတင်မှုမှာ တစ်ခုတည်း ဖြစ်သော်လည်း [ကြည့်။ [4:1]] ထိုမှ ဆက်လက် ဖြစ်ထွန်းမှု၌မူ ဆန့်ကျင် ဘက်စုံတွဲများ ပါဝင်နေသည်။ ၎င်းကို ကုရ်အာန်က (زَوْجٌ) ‘ဇောက်ဂျ်’ [ဗဟုဝုစ် (أَزْوَاجٌ) ‘အဇ်ဝါးဂျ်] ဟု သုံးနှုန်းသည်။ ဆိုလိုသည်မှာ ဆန့်ကျင်ဘက် စုံတွဲ မပါဝင်ဘဲ (خَلَقَ) ‘ခလကွော့’ စနစ်က ရှေ့သို့ မတက်လှမ်း နိုင်ချေ။ သို့ဖြစ်၍ စကြဝဠာနှင့် ကမ္ဘာဂြိုဟ် တို့တွင် ဆက်လက် ဖြစ်ထွန်း နေသော အရာ မှန်သမျှ၌ ဆန့်ကျင်ဘက် စုံတွဲများ ပါဝင်နေသည်။ အလ္လာဟ် သည်ကား ဆန့်ကျင်ဘက် စုံတွဲ မရှိသော တစ်ပါးတည်းသော အရှင်ပင် ဖြစ်၏။ [ကြည့်။ [6:101]][(خَلَقَ) ‘ခလကွော့’ နှင့် ပတ်သက်၍ [2:21] အောက်ခြေ (၅၁) တွင်ကြည့်ပါရန်]#[(فَطَرَ) ‘ဖှတွော့ရ’ နှင့် ပတ်သက်၍ [30:30] အောက်ခြေ (၁၄၁၁)၊ [35:1] အောက်ခြေ (၁၄၆၇) စသည်တို့တွင် ကြည့်ပါရန်]#[(زَوْجٌ) ‘ဇောက်ဂျ်’ နှင့် ပတ်သက်၍ [2:35] အောက်ခြေ (၈၄)၊ [33:28] အောက်ခြေ (၁၄၄၀) စသည်တို့တွင် ကြည့်ပါရန်]"
"1482a","ဤအာယဟ်တွင် (مَشِيَّةُ اللهِ) ‘မရှိယသွတ်လ္လာဟ်’ “အလ္လာ့ဟ် စံချိန် နှင့်အညီ ဖြစ်ပေါ်ခြင်း” ကို ကာဖှိရ်တို့က သဘောပေါက် လွဲ၍ ယနေ့ မုစ်လင်မ် လောကတွင် သုံးနှုန်း နေသော (إِنْ شَآءَ اللهُ) ‘အင်န်ရှာအလ္လာဟ်’ “အလ္လာဟ် အလိုတူလျှင်” ဟူသည့် အနက်သဘော ဖြင့်ပင် သုံးနှုန်း နေသည်ကို တွေ့ရ၏။ စင်စစ် ကုရ်အာန်မှ ရည်ညွှန်း သုံးနှုန်း သော (مَشِيَّةُ اللهِ) ‘မရှိယသွတ်လ္လာဟ်’ ဟူသည် “အလ္လာဟ် ပြဋ္ဌာန်းသော စံချိန် နှင့်အညီ ဖြစ်ပေါ်ခြင်း” ကို ဆိုလိုသည်။ ၎င်း၌ အဆင့် သုံးဆင့်ရှိပြီး၊ တတိယ အဆင့်တွင် လူသား၏ လုပ်ရပ်မှ အလ္လာ့ဟ် စံချိန် နှင့်အညီ ရလဒ် ဖြစ်ပေါ်ခြင်းကို ရည်ညွှန်းခြင်း ဖြစ်သည်။ ထို့ကြောင့် မည်သည့် ဆောင်ရွက်ချက် ကိုမျှ မပြုလုပ်ဘဲ၊ အလ္လာဟ် အလိုတူလျှင် ရလဒ်ဖြစ် ပေါ်မည်ဟု ယူဆခြင်းမှာ ကျမ်းမြတ် ကုရ်အာန်၏ သွန်သင်ချက် မဟုတ်ပေ။ ဤအာယဟ်တွင် လူ့ဘောင်၏ ဟန်ချက် ပျက်နေမှုကို ပြန်လည် ညီညွတ်လာရန် လိုအပ် နေသူများကို မိမိတို့၏ ပိုင်ဆိုင်မှု များမှ မျှဝေရန် ညွှန်ကြားခြင်း ဖြစ်၏။ ကာဖှိရ်တို့က ဤ ညွှန်ကြားချက် ကို ခေါင်းရှောင်ရန် (لَوْ يَشَآءُ اللهُ أَطْعَمَهٗ) “အလ္လာဟ် အလိုတူလျှင် ကိုယ်တော်တိုင် ကျွေးမွေးမည်” ဟု စောဒက တက်ခြင်း ဖြစ်ပေသည်။ ဤစောဒကသည် မိုက်မဲခြင်းကို ဖော်ပြ ခြင်းသာ ဖြစ်၏။#[(مَشِيَّةٌ) ‘မရှိယဟ်’ နှင့်ပတ်သက်၍ [2:70] အောက်ခြေ (၁၃၁) [3:26] အောက်ခြေ (၃၅၇) [6:148] အောက်ခြေ (၆၃၈) [6:149] အောက်ခြေ (၆၄၀) [10:99] အောက်ခြေ (၉၀၉) [13:26] အောက်ခြေ (၉၉၀) [28:56] အောက်ခြေ (၁၃၇၉) [28:68] အောက်ခြေ (၁၃၈၂) [29:21] အောက်ခြေ (၁၃၉၂) စသည်တို့တွင် လေ့လာပါရန်]"
"1482b","အာယဟ် ၅၁ တွင် (مِنَ الْأَجْدَاثِ) ‘မိနလ် အဂ်ျဒါးစ်’ “သေဆုံးလျက် ရှိရာမှ” “သင်္ချိုင်းများမှ” နှင့် အာယဟ် ၅၂ တွင် (مِنْ مَّرْقَدِنَا) ‘မင်မ် မရ်ကဒိနာ’ “ကျွန်ုပ်တို့၏ မှေးစက်ရာမှ” “ကျွန်ုပ်တို့၏ အိပ်ရာမှ” ဟူသော သုံးနှုန်းမှုတွင် ရလဒ်များ အပြည့်အဝ ရရှိမည့် ကာလ၏ အခြေအနေ ကို ကြိုတင်၍ ပုံဖော်ပြခြင်း ဖြစ်ပေသည်။ အချို့ယူဆ သကဲ့သို့ သင်္ချိုင်းများ၌ ကောင်းကျိုး၊ ဆိုးပြစ် ခံစားရမည် ဆိုသည်မှာ ထင်မြင်ချက် သက်သက်သာ ဖြစ်၏။ အကယ်၍သာ သင်္ချိုင်းအတွင်း ပြစ်ဒဏ် ခံစားရရိုး မှန်လျှင် “ဪ- ကျွန်ုပ်တို့ ပျက်စီးရလေခြင်း၊ ကျွန်ုပ်တို့၏ မှေးစက်ရာမှ (တစ်နည်း) အိပ်ရာမှ ကျွန်ုပ်တို့အား မည်သူက နိုးထစေ သနည်း” ဟု ညည်းညူ ပြောဆိုကြမည် မဟုတ်ကြောင်း သတိပြု သင့်၏။"
1483,"(حَيٌّ) ‘ဟိုက်ယ်’ “ရှင်သန်ခြင်း” ဟူသော ပုဒ်သည် (مَوْتٌ) ‘မောက်ဝ်သ်’ နှင့် တိုက်ရိုက် ဆန့်ကျင်ဘက် အနက် ဆောင်သည်။ (مَوْتٌ) ‘မောက်ဝ်သ်’ နှင့် ပတ်သက်၍ [27:80] အောက်ခြေ (၁၃၆၆) တွင် ဖော်ပြခဲ့ပြီး ဖြစ်သည်။ ဤ အာယဟ်တွင် ရည်ညွှန်းသော (حَيٌّ) ‘ဟိုက်ယ်’ “ရှင်သန်ခြင်း” ဟူသည် “လူ့အရည်အသွေး တိုးတက်ခြင်း” “ဆင်ခြင်ဉာဏ် နှင့် တွေးခေါ် နိုင်စွမ်း ဖွံ့ဖြိုးခြင်း” “စိတ်နှလုံး ရှင်သန်ခြင်း” စသည်တို့ကို ရည်ညွှန်းသည်။ (لِيُنْذِرَ مَنْ كَانَ حَيًّا) ‘လိယွန် (န်) ဇိရ မန် (န်) ကာန ဟိုက်ယန် (န်)’ ၏ ဆိုလိုရင်းမှာ “ဆင်ခြင်ဉာဏ် အသုံးချ၍၊ လူဖြစ်မှုဘဝ ရှင်သန် တိုးတက်ရန် အလိုရှိသော သူတို့ကိုသာ ကျမ်းမြတ် ကုရ်အာန်ဖြင့် သတိပေး နှိုးဆော်နိုင်မည်” ဟူ၍ဖြစ်၏။"
1484,"(مِمَّا عَمِلَتْ أَيْدِيْنَا) ကို တိုက်ရိုက် ပြန်ဆိုလျှင် “ငါသည် မိမိ၏ လက်များဖြင့် စီမံဆောင်ရွက် ခဲ့သော” ဟူ၍ ဖြစ်သည်။ ထိုသို့အားဖြင့် အလ္လာ့ဟ် တွင်လည်း လူသားများ ကဲ့သို့ လက်များ ရှိသည်ဟု သဘော သက်ရောက်သည်။ သို့ဆိုလျှင် အလ္လာဟ်သည် လူသားများ ကဲ့သို့ ကိုယ်လက်အင်္ဂါ အစိတ်အပိုင်း အစုနှင့် ခန္ဓာရှိသည်ဟု ထင်ယောင်ထင်မှား ဖြစ်နိုင်သည်။ [42:11] တွင် အလ္လာဟ်က ‘မိမိနှင့် ထပ်တူ တူညီရာ တစ်စုံတစ်ရာမျှ မရှိ’ ဟု ပြတ်သားစွာ မိန့်ဆိုထား၏။ စင်စစ် ဤတွင် သုံးနှုန်းသော (أَيْدِيْنَا) ‘အိုက်ယ်ဒီးနာ’ “ငါ၏လက်များ” ဟူသည် တင်စားမှု သာဖြစ်၏။ ဆိုလိုသည်မှာ “ငါ၏ စွမ်းအားများ” (တစ်နည်း) လုပ်ပိုင်ခွင့်များ” ဟူ၍ ဖြစ်သည်။#[(يَدٌ) ‘ယဒ်’ “လက်” ဟူသော အသုံးအနှုန်း အတွက် [4:43] အောက်ခြေ (၄၇၀) [5:64] အောက်ခြေ (၅၆၁) [7:108] အောက်ခြေ (၇၁၂) [20:22] အောက်ခြေ (၁၁၉၅) စသည်တို့တွင် လေ့လာနိုင်ပါ သည်]#[(اَللهُ) ‘အလ္လာဟ်’ နှင့်ပတ်သက်၍၊ [2:255] အောက်ခြေ (၃၀၃) [33:35] အောက်ခြေ (၁၄၄၅) စသည်တို့နှင့် တွဲဖက် လေ့လာပါရန်]"
