"notes_id","explanation"
1867,"(اَلْمُدَّثِّرُ) ‘မွတ်ဒ္ဒတ်ဆ်ဆိရ်’ ကိုလည်း တိုက်ရိုက်ပင် “စောင်ခြုံထားသူ” ဟူ၍ ပြန်ဆိုကြသည်။ ဤအကြောင်း အရာနှင့် ပတ်သက်၍ [73:1] အောက်ခြေ (၁၈၅၆) တွင်လည်း ဖော်ပြခဲ့ပြီးဖြစ်၏။ (اَلْمُدَّثِّرُ) ‘မွတ်ဒ္ဒတ်ဆ်ဆိရ်’ ၏ အနက်သဘောကို အနည်းငယ် ရှင်းပြလိုသည်။#ဤစကားလုံး၏ ဇာစ်မြစ်အက္ခရာမှာ (د ث ر) ‘ဒါလ်၊ ဆာအ်၊ ရာအ်’ ဖြစ်သည်။ ၎င်း၌ “များပြားခြင်း” အနက် သဘော ပါဝင်သည်။ ဥပမာ- (مَالٌ دَثْرٌ) ‘မာလွန် (န်) ဒဆ်ရွ်’ ဟူသည် “အလွန် များပြားသော ဥစ္စာပစ္စည်း” ဟူ၍ ဖြစ် သည်။ (تَدَثَّرَ بِالثَّوْبِ) ‘သဒဆ်ဆရ ဗိဆ်ဆောက်ဘ်’ ၏ အဓိပ္ပာယ်မှာ “သူ အဝတ်ဖြင့် ရစ်ပတ်သည်” “အဝတ်ကို ခြုံ သည်” ဟူ၍ ဖြစ်သည်။ (دَثَرَ الشَّجَرُ دُثُوْرًا) ‘ဒဆရရှ် ရှဂျရု ဒုဆူရန် (န်)’ ဟူသည် “သစ်ပင်သည် ရွက်သစ်များ ဝေ၍၊ စိမ်းစိုသော အကိုင်းများ ယှက်ဖြာလာသည်” ဟူ၏။ (هُوَ دَثْرُ مَالٍ) ‘ဟုဝ ဒဆ်ရု မာလင်န်’ ၏ အဓိပ္ပာယ်မှာ “သူသည် ကုလားအုတ်များကို ကောင်းစွာ ကြည့်ရှု စောင့်ရှောက်သည်” ဟူ၍ ဖြစ်သည်။ (تَدْثِيْرُ الطَّائِرِ) ‘သဒ်ဆီရွတ် တွောအိရ်’ ၏ အဓိပ္ပာယ်မှာ “ငှက်သည် အသိုက်ကို ပြုပြင်သည်” ဟူ၍ ဖြစ်သည်။ အိဗ်နု ဖှာရိစ် ၏ ဖော်ပြချက်အရ ရင်းမြစ်အနက် သဘောမှာ “ပစ္စည်းများကို အဆင့်ဆင့် တင်ခြင်း” “ပစ္စည်းများကို ဆင့်ခြင်းဖြင့် အပေါ်သို့ ရောက်ရှိခြင်း” ဟူ၍ ဖြစ်၏။ အများအားဖြင့် (تَدَثَّرَ بِالثَّوْبِ) ‘သဒဆ်ဆရ ဗိဆ်ဆောက်ဘ်’ ကို ကောက်၍ “အဝတ်ကို ခြုံသည်” ဟုသာ ပြန်ဆိုကြ၏။ စင်စစ် (تَدْثِيْرُ الطَّائِرِ) ‘သဒ်ဆီရွတ် တွောအိရ်’ ဟူသော ရှုထောင့်ကိုသာ ရွေးချယ်သင့်၏။ ဆိုလိုသည်မှာ “လူ့ဘောင်၏ မှားယွင်းနေသော အနေအထားများကို ပြုပြင် တည်ဆောက်၍၊ လူ့ဘောင်သစ်ကို ဆောင်ကြဉ်းလာသူ” ဟူ၍ ဖြစ်၏။ (دَثَرَ الشَّجَرُ دُثُوْرًا) ‘ဒဆရရှ် ရှဂျရု ဒုဆူရန် (န်)’ ဟူသော ရှုထောင့်အရ “လူ့ဘောင်ကို ရှင်သန်တိုးတက်လာရန် ဆောင် ရွက်သူ” ဟူ၍ ဖြစ်မည်။ ထို့ပြင် (هُوَ دَثْرُ مَالٍ) ‘ဟုဝ ဒဆ်ရု မာလင်န်’ ဟူသော ရှုထောင့်အရ “လူ့ဘောင်ကို ကောင်းမွန် သော စောင့်ရှောက်မှုဖြင့် စောင့်ရှောက်သူ” ဟူ၍ ဖြစ်မည်။ ဖော်ပြပါ သဘောတရားများအရ (يَآ أَيُّــــــــــهَا الْمُدَّثِّــــــــــــرُ) ‘ယာအိုက်ယုဟတ်လ် မွတ်ဒ္ဒတ်ဆ်ဆိရ်’ ကို ကျွန်ုပ်က-#1. အို-လူ့ဘောင်သစ်ကို ဆောင်ကြဉ်းလာသူ၊#2. အို-လူ့ဘောင်ကို ရှင်သန်တိုးတက်လာရန် ဆောင်ရွက်သူ၊#3. အို-လူ့ဘောင်ကို ကောင်းမွန်သော စောင့်ရှောက်မှုဖြင့် စောင့်ရှောက်သူ၊#-စသဖြင့် အနက်ကောက်ခြင်း ဖြစ်သည်။#မုဟမ္မဒ် ရစူလ် (ﷺ) သည် အမှောင်ဖုံးလွှမ်းနေသော (တစ်နည်း) ဥပဒေမဲ့၍ တရားမျှတမှု မရှိသော လူ့ဘောင်တစ်ရပ်ကို ကျမ်းမြတ်ကုရ်အာန်၏ လမ်းညွှန်မှုနှင့်အညီ ပြုပြင် ပြောင်းလဲမည့် သူဖြစ်ကြောင်း၊ ထိုလူ့ဘောင်အား ထွန်းလင်း တောက်ပလျက် ကမ္ဘာ့အလယ်တွင် တင့်တယ်စွာ ပေါ်ထွန်းလာရန် ဆောင်ရွက်မည့်သူဖြစ်ကြောင်း၊ မှားယွင်းနေသော လူနေမှုစနစ်ကို တော်လှန်ပြောင်းလဲ၍ ကောင်းကျိုးများ သက်ရောက်လာရန် ကြိုးစား အားထုတ်မည့်သူဖြစ်ကြောင်း ကျမ်းမြတ်ကုရ်အာန်၏ များစွာသော အာယဟ်များ၌ ရည်ညွှန်းထားသည်ကို တွေ့ရ၏။ သူသည် ပေးအပ်ခံရသော တာဝန်များကို ထိတ်လန့်၍ စောင်ခြုံပြီး အိပ်နေမည့်သူ မဟုတ်သည်ကို အထူးပင် သတိပြုအပ်ပေသည်။ ရှေ့လာမည့် အာယဟ်များတွင် သူထမ်းရွက်ရမည့် ကိစ္စများကို တစ်ခုချင်းစီ ဖော်ပြထားသည်ကို တွေ့ရ၏။"
1868,"(قُمْ) ‘ကွန်မ်’ ၏ ဇာစ်မြစ်အက္ခရာမှာ (ق و م) ‘ကွောဖှ်၊ ဝေါက်ဝ်၊ မီးမ်’ ဖြစ်သည်။ ဤစကားလုံးနှင့် ပတ်သက် ၍ [2:3] အောက်ခြေ (၂၀) တွင်လည်း ဖော်ပြခဲ့ပြီး ဖြစ်သည်။ ဤနေရာတွင် စောင်ခြုံ၍ အိပ်နေရာမှ ထခိုင်းခြင်း မဟုတ် သည်ကို သတိပြုအပ်ပေသည်။ မိမိအား ပေးအပ်ထားသော တာဝန်များကို မားမားမတ်မတ်၊ မြဲမြဲမြံမြံ ရပ်တည်၍ ဆောင်ရွက်ရန် ညွှန်ကြားခြင်းသာ ဖြစ်၏။"
1869,"(أَنْذِرْ) ၏ ဇာစ်မြစ်အက္ခရာမှာ (ن ذ ر) ‘နူးန်၊ ဇာလ်၊ ရာအ်’ ဖြစ်သည်။ ထိုမှ ဆင့်ပွားကြိယာ ဖြစ်သော (أَنْذَرَ) ၏ အဓိပ္ပာယ်မှာ “Warn” “သတိပေးခြင်း” “နှိုးဆော်ခြင်း” ဟူ၍ ဖြစ်သည်။ အာယဟ်တွင် “လူတို့အား မှားယွင်းသော လူနေမှု စနစ်၏ ဆိုးကျိုးများမှ သတိပေးနှိုးဆော်ခြင်း” အနက်ကို ဆောင်သည်။ ရစူလ်၏ ပထမဦးဆုံး တာဝန်မှာ ဤ သည်ပင် ဖြစ်၏။ ထိုသို့အားဖြင့် မိမိအား ပေးအပ်ထားသော တာဝန်အဆင့်ဆင့်ကို ပုံဖော် တည်ဆောက်ရန် ရှေ့ဆက် တက်လှမ်းရပေမည်။ ထိုအခါ ရစူလ်၏ (اَلْمُدَّثِّرُ) ‘မွတ်ဒ္ဒတ်ဆ်ဆိရ်’ ဖြစ်မှု ပုံပေါ်လာပေမည်။"
1870,"(كَبِّرْ) ‘ကဗ္ဗိရ်’ ၏ ဇာစ်မြစ်အက္ခရာမှာ (ك ب ر) ‘ကားဖှ်၊ ဗားအ်၊ ရာအ်’ ဖြစ်၏။ ထိုမှ ဆင့်ပွား ကြိယာတစ်လုံး ဖြစ်သော (تَكْبِيْرٌ) ‘သတ်က်ဗီးရ်’ ၏ ပြုမိန့်ကြိယာ ဖြစ်၏။ ၎င်းကို အများအားဖြင့် (اَللهُ أَكْبَرُ) ‘အလ္လာဟု အတ်က်ဗရ်’ ရွတ်ဆိုခြင်းဟု အပေါ်ယံ အနက်သဘောကိုသာ ကောက်ယူကြသည်။ အမှန်စင်စစ်နှုတ်မှ ရွတ်ဆိုခြင်းထက် အလ္လာဟ် ပြဋ္ဌာန်းသော ဒီးန် (လူ့ဘဝ တည်ဆောက်မှုစနစ်) ကို လက်တွေ့ တည်ဆောက်ခြင်းအားဖြင့် ထိုစနစ်၏ ကြီးကျယ်မှုအား ဖော်ထုတ်ပြရန် ဖြစ်၏။ အထူးသဖြင့် အာယဟ်အစတွင် (رَبٌّ) ‘ရဗ္ဗ’ ကို သုံးနှုန်းထားသောကြောင့် ထိုလူ့ဘဝ တည် ဆောက်မှုစနစ်သည် ပျိုးထောင်မှုစနစ်အပေါ် အခြေခံထားကြောင်း ဖော်ပြခြင်း ဖြစ်၏။ ထိုပျိုးထောင်မှုစနစ်သည် အလ္လာဟ်၏ ကြီးကျယ်မှုကို ကိုယ်စားပြုထားသည်။ ဤအချက်ကိုပင် [29:45] တွင် (وَلَذِكْرُ اللهِ أَكْبَرُ) “ဧကန်ပင် အလ္လာဟ်၏ အဆုံးအမသည် အကြီးကျယ်ဆုံး ဖြစ်၏” ဟူ၍ ပျိုးထောင်မှုစနစ် အခြေခံသော ကျမ်းမြတ်ကုရ်အာန်ကို ညွှန်းဆိုထားရာ ကျမ်းမြတ်ကုရ်အာန်၏ လမ်းညွှန် အဆုံးအမအား လိုက်နာရင်း အလ္လာဟ်၏ ကြီးကျယ် မြင့်မြတ်မှုကို ဖော်ထုတ်ဖို့ရန် မုစ်လင်မ်တို့အပေါ်၌ တာဝန်ရှိကြောင်း ညွှန်ကြားခြင်း ဖြစ်၏။ [[2:185] [17:111] [29:45] စသည်တို့နှင့် တွဲဖက် လေ့လာပါရန်]"
1871,"ဤအာယဟ်တွင် သုံးနှုန်းထားသော (ثِيَابٌ) ‘ဆိယားဗ်’ ကို အများအားဖြင့် “အဝတ်များ” ဟူ၍သာ တိုက်ရိုက် ပြန်ဆိုကြသည်။ ဤစကားလုံးနှင့်ပတ်သက်၍၊ [22:19] အောက်ခြေ (၁၂၅၉) တွင် ဖော်ပြခဲ့ပြီး ဖြစ်၏။ ဤစကားလုံး သည် အနက်အဓိပ္ပာယ် ကြွယ်ဝသော စကားလုံးတစ်လုံး ဖြစ်သည်။ ဤအာယဟ်တွင် “စာရိတ္တ” “ကိုယ်ကျင့်တရား” “ဖိတ်ခေါ် စုရုံးမှု” “ကိုယ်ရည်ကိုယ်သွေးများ” စသည့်အနက်သဘောများကို ကောက်ယူထား၏။ [[22:19] အောက်ခြေ (၁၂၅၉) နှင့်တွဲဖက် လေ့လာပါရန်]"
1872,"ယေဘုယျအားဖြင့် (اَلرُّجْزَ) ‘ရွတ်ဂျ်ဇ်’ ကို “အညစ်အကြေး” “ရုပ်ပွားဆင်းတု” ဟူ၍သာ ပြန်ဆိုကြ၏။ စင်စစ် (اَلرُّجْزَ) ‘ရွတ်ဂျ်ဇ်’ ဟူသည် “ချည့်နဲ့မှု” “ရပ်တည်နိုင်စွမ်းမဲ့မှု” “ဆိုးကျိုး” စသည်တို့ကို ရည်ညွှန်းခြင်း ဖြစ်၏။ ဤသည် အပျက်စိတ်မှ ပေါက်ဖွားသော အကျိုးဆက်တခုသာ ဖြစ်၏။ အထူးသတိပြုအပ်သော အချက်မှာ ဤအာယဟ်များတွင် ရစူလ်ကို တိုက်ရိုက် ရည်ညွှန်း သော်လည်း စင်စစ် [73:1] တွင် ရည်ညွှန်းထားသော (اَلْمُزَّمِّلُ) ‘မွတ်ဇ္ဇန်မ္မစ်လ်’ နှင့် ချိတ် ဆက်ခြင်းဖြင့် ရစူလ်နှင့်အတူ လက်တွဲဆောင်ရွက်ကြမည့် အတွေးတူ၊ အမြင်တူ၊ ခံယူချက်တူသူ ရဲဘော်ရဲဘက်များ အပါအဝင် ခေတ်အဆက်ဆက် ပေါက်ဖွားလာမည့် မုစ်လင်မ် လူ့အဖွဲ့အစည်း တစ်ခုလုံးပါ အကျုံးဝင်လျက် ရှိ၏။ ရစူလ် သည် မိမိတည်ဆောက်မည့် ကုရ်အာ့န်လမ်းညွှန် အခြေခံသော လူ့ဘောင်သစ်တစ်ရပ်ကို တည်ဆောက်ရန် မိမိ၏ လက်တွဲဖော်များနှင့် ဦးစွာ ကြိုးပမ်း ဆောင်ရွက်ရပေမည်။ ထို့နောက် ပုံပေါ်လာသော ယင်းလူ့ဘောင်သစ်ကို အဓွန့်ရှည်ရန် လက်ဆင့်ကမ်းရမည် ဖြစ်ပေသည်။ ထိုကြိုးပမ်းမှု၌ အပျက်သဘောဆောင်သည့် ချည့်နဲ့မှုနှင့် ရပ်တည် နိုင်စွမ်းမဲ့ မှုတို့ကို စံနမူနာအဖြစ် စွန့်ခွာ၍၊ အင်အား၊ စွဲမြဲစွာ ရပ်တည်နိုင်မှုတို့ကို ပုံဖော်ပြရမည် ဖြစ်၏။ ဤသည်ပင် (أُسْوَةٌ حَسَنَةٌ) ‘အွတ်စ်ဝသွန် (န်) ဟစနဟ်’ ရစူလ်၏ “ဟန်ချက်မျှသော-လူ့ဘဝနှင့်လိုက်ဖက်သော စံနမူနာ” ဖြစ်၏။ ကျွန်ုပ်တို့သည် ထို (أُسْوَةٌ حَسَنَةٌ) ‘အွတ်စ်ဝသွန် (န်) ဟစနဟ်’ ကို စံအဖြစ်ထား၍ အစ္စလာ့မ်လူ့ဘောင်ကို တည်ဆောက်ကြရပေမည်။"
1873,"ဤအာယဟ်၏ ဆိုလိုရင်းမှာ-#မိမိ၏ ပိုင်ဆိုင်မှုများမှ လူ့ဘောင်၏ လိုအပ်ချက်များကို ဖြည့်ဆည်းပေးခြင်းဖြင့် အလ္လာဟ်၏ တုံ့ပြန် ရလဒ်က ချီးမြှင့်မည့် ကောင်းကျိုးကိုသာ ရှေးရှုရမည် ဖြစ်ပြီး၊ ထိုဖြည့်ဆည်းပေးမှုကြောင့် လူ့ဘောင်ဝင်တို့က ကျေးဇူးတုံ့ပြန်ရမည်ဟု မမှတ်ယူအပ်ပေ။ မိမိနှင့် မိမိ၏ နောက်လိုက်တို့သည် လူတို့၏ ကျေးဇူးတုံ့ပြန်မှုကို မမျှော်ကိုးပဲ၊ အလ္လာ့ဟ်ပြဋ္ဌာန်းချက်အရ တုံ့ပြန်လာမည့် ကောင်းကျိုးကိုသာ ရှေးရှုကြရမည်ဟူ၏။#[ဤအာယဟ်နှင့် တွဲဖက်၍၊ [30:39] အောက်ခြေ (၁၄၁၆)၊ [76:9] စသည်တို့ကို တွဲဖက် လေ့လာပါရန်]"
1874,"ဆိုလိုသည်မှာ-#အလ္လာဟ်ပြဋ္ဌာန်းသော ပျိုးထောင်မှုစနစ် အခြေခံ လူ့ဘောင် ပုံပေါ်လာရေးတွင် ဆန့်ကျင်ဘက် အင်အား စုများနှင့် ထိပ်တိုက် ရင်ဆိုင်ရမည် ဖြစ်သောကြောင့် စိတ်ပျက်၍ မစွန့်ထားရာ။ အရှင့်လမ်းညွှန်မှုတွင် တန် ပြန်သက်ရောက်မည့် အကျိုးဆက်ကို ပြဋ္ဌာန်းထားပြီးဖြစ်၏။ သို့သော် ထိုအကျိုးဆက် ပုံပေါ်လာရန် အချိန် အကန့်အသတ်တစ်ခုကို ပြဋ္ဌာန်းထားသော ကြောင့် မိမိ၏ ဆောင်ရွက်မှုမှ ပုံပေါ်လာမည့် ကောင်းကျိုးများ သည်လည်း မုချ ရှိနေ၏။ သို့ဖြစ်ရာ ထိုကောင်းကျိုးများ ပုံပေါ်လာ သည့် တိုင်အောင် စွဲမြဲ ကြံ့ခိုင်စွာ ရပ်တည် လျက် မိမိအား ပေးအပ်ထားသော တာဝန်ကို စဉ်ဆက်မပြတ် ဆောင်ရွက်နေရမည်သာ ဖြစ်ကြောင်း အသိ ပေး လမ်းညွှန်ခြင်း ဖြစ်၏။"
1875,"(مَنْ خَلَقْتُ) “ငါ၏ ဥပဒေသအရ တစ်ကိုယ်တည်း ဖြစ်ထွန်းလာသူ” ဟူသည် လူသည် မွေးဖွားလာစဉ်၌ ဘာမျှ ပါမလာ ဘဲ၊ တစ်ကိုယ်တည်း ဖြစ်ထွန်းလာသည်ဟု ဆိုလိုသည်။ အချိန်တစ်ချိန် ရောက်လာသောအခါ၊ စွမ်းအား၊ အာဏာ၊ ပစ္စည်းဥစ္စာ၊ တပည့်တပန်း နောက်လိုက်များ၊ ကြင်ရာကြင်ဘက်၊ သားသမီး၊ အပေါင်းအဖော်များ စသည်တို့ကို ပိုင်ဆိုင်လာရ သည်။ ထိုနည်းတူစွာ ကွယ်လွန်သည့်အခါ၌လည်း တစ်ကိုယ်တည်းပင် ဖြစ်၏။ အထူးသတိပြုအပ်သည်မှာ မိမိပြု ကျင့်သမျှသည် ရလဒ်အဖြစ် တုံ့ပြန်လာသောအခါ၊ မိမိသာလျှင် ခံစား၊ စံစားရပေမည်။ ထိုအခါ မည်သူမပြု မိမိမှုဆိုသည့်အတိုင်း ထိုအကျိုးဆက် များကို မည်သူကမျှ ဝင်ရောက် ခံစားပေးနိုင်မည် မဟုတ်ပေ။ ဤအခြင်းအရာများကို ရှေ့လာမည့် အာယဟ်များတွင် ဖော်ပြထား ၏။"
1876,"‘ကျွင်းကျန်စေမည်လည်း မဟုတ်’ ဟူသည် လူဖြစ်မှု၏ ဂုဏ်သိက္ခာ၊ အရည် အသွေးကောင်းများ၊ ပိုင်ဆိုင်မှု များ စသည့် အားလုံးသည်ပင် (سَقَرُ) ‘စကရ်’ မည်သော “လောင်ကျွမ်း ပျက်စီးမှု” က ချန်ထားမည် မဟုတ်ဘဲ၊ လောင် ကျွမ်းသွားစေမည်ဟု ဆိုလိုသည်။ စင်စစ် ယင်းလောင်ကျွမ်း ပျက်စီးမှုသည် လူသား၏ အပျက်လုပ်ဆောင်မှုများ ကြောင့် ပုံပေါ်လာသော ဆိုးကျိုး (ရလဒ်) သာလျှင် ဖြစ်၏။ ‘စွန့်ထားမည်လည်း မဟုတ်’ ဆိုသည်မှာ ထိုသူအား အရေး ယူ ဒဏ်ခတ်မှု မပြုဘဲ စွန့်ထားမည် မဟုတ်ကြောင်းကို ရည်ညွှန်းသည်။"
