"notes_id","explanation"
1708,"ဤအာယဟ်ရှိ (اَلسَّاعَةُ) ‘စာအဟ်’ “အချိန်နာရီ” ဟူသည် [47:18] ၌ ရည်ညွှန်းထားသော မုဟမ္မဒ် ရစူလ် (ﷺ) နှင့် မုစ်လင်မ်တို့ဘက်မှ တော်လှန်ရေး အောင်မြင်ချိန်နှင့် ဆန့်ကျင်သူတို့အဖို့ ရှုံးနိမ့်မည့်အချိန် ဆိုက်ရောက်လာခြင်းကို ရည်ညွှန်းသည်။#[ဤအကြောင်းနှင့် ပတ်သက်၍ [7:183] အောက်ခြေ (၇၃၇) [7:187] အောက်ခြေ (၇၄၁-၇၄၂) [47:18] အောက်ခြေ (၁၆၁၃) စသည်တို့နှင့် တွဲဖက်လေ့လာပါရန်]"
1709,"(اِنْشَقَّ الْقَمَرُ) ‘အင်န်ယှတ်က္ကလ် ကမရ်’ ကို ဘာသာပြန် ပညာရှင်များက “လ,နှစ်ခြမ်းကွဲသွားသည်” ဟု ပြန် ဆိုကြသည်။ အမှန်တကယ် လ,နှစ်ခြမ်းကွဲခဲ့လျှင် နေ,မိသားစုတွင် ပါဝင်သော ကမ္ဘာဂြိုဟ်အပါအဝင် အခြားဂြိုဟ် အသီးသီးတို့၏ တည်ရှိနေမှုမှာ ကမောက်ကမ ဖြစ်သွားပေမည်။ ဤတွင် သုံးနှုန်းထားသော (اَلْقَمَرُ) ‘ကမရ်’ ဟူသည် ကုရိုက်ရှ်မျိုးနွယ်ဝင် ဓနရှင် အင်အားစု၏ သင်္ကေတဖြစ်သော အလံကို ရည်ညွှန်းသည်။ အောက်တွင် (اَلْقَمَرُ) ‘ကမရ်’ ၏ အနက်သဘောအချို့ကို ဖော်ပြလိုက်ပါသည်။# #1. (اَلْقَمَرُ) ‘ကမရ်’ ဟူသည် လဆန်း ၃ ရက်မှ ၂၅ ရက်နေ့အထိ ဖြစ်သော “လ” ကို ဆိုလိုသည်။ ပထမ၊ ဒုတိယနှင့် ၂၆ ရက်အလွန် လ,ကို (هِلَالٌ) ‘ဟိလားလ်’ ဟု ခေါ်ဆိုသည်။# #2. (تَقَمَّرَ الْمَرْأَةَ) ‘သကမ္မရလ် မရ်အသ’ ဟူသည် “အမျိုးသမီးနှင့် ထိမ်းမြားပြီး၊ ခေါ်သွားသည်” ဟု ဖြစ် သည်။ ထို့ပြင် “မင်္ဂလာဦးညကို လပြည့်ညတွင် ဖြတ်သန်းသည်” ဟုလည်း ဖြစ်၏။ [သာဂျုလ် အုရူစ်]#3. ရာဃိဗ်၏ ဖော်ပြချက်အရ (قَمَرَهٗ) ‘ကမရဟူး’ ဟူသည် “ဖုံးလွှမ်းခြင်း” ကို ဆိုသည်။ သဘောမှာ လပြည့် ည၏ အလင်းရောင်သည် ကြယ်တာရာများကို ဖုံးလွှမ်းသွားစေသည်ဟူ၏။ (قَمَرْتُ فُلَانًا) ‘ကမရ်သု ဖှုလာနန် (န်)’ ၏ အဓိပ္ပာယ်မှာ “ကျွန်ုပ် ထိုပုဂ္ဂိုလ်ကို လှည့်စားသည်” ဟူ၍ ဖြစ်သည်။ [ရာဃိဗ်]#4. ဃရီဗွတ်လ် ကုရ်အာန် ကျမ်းရှင်၏ အဆိုအရ အမိုက်ခေတ် အရဗ်တို့၏ လူမျိုးရေး သင်္ကေတဖြစ်သော အလံ၏ အမှတ်အသားမှာ (قَمَـــــــــرٌ) ‘ကမရ်’ “လ” ဖြစ်သည်။ ထိုခေတ်က ပါရှန်း-အီရန်၏ လူမျိုးရေး သင်္ကေတဖြစ်သော အလံ၏ အမှတ်အသားမှာ (شَمْسٌ) ‘ရှမ်စ်’ “နေ” ဖြစ်သည်။ ထိုရှုထောင့်အရ [54:1] ၌ သုံးနှုန်းထားသော-#اِقْتَرَبَتِ السَّاعَةُ وَانْشَقَّ الْقَمَرُ ﴿۱﴾#၏ ဆိုလိုရင်းအနက်သဘောမှာ-#“မုအ်မင်န်အုပ်စုနှင့် ကုရိုက်ရှ်နွယ်ဝင် ဓနရှင် အင်အားစုတို့၏ နောက်ဆုံး ရင်ဆိုင်တွေ့ဆုံရမည့် ကာလ နီးကပ်လာပြီ။ ထိုသို့ဖြင့် အမိုက်ခေတ် အရဗ်တို့၏ အင်အား အလုံစုံတို့ အဆုံးသတ်ပြီး၊ အစ္စလာ့မ် အောင်လံ လွှင့်ထူရန် အချိန်နီးကပ်လာပြီ” ဟူ၍ ဖြစ်သည်။#ဤနေရာတွင် ‘သင်္ကေတ-အထိမ်းအမှတ်-အလံ’ ဟူသည် လူမျိုးတစ်မျိုး၏ ရပ်တည်မှုကို ကိုယ်စားပြုသည်။ ဝမ်းနည်းစရာ ကောင်းသည်က ယနေ့ အစ္စလာမ်သည် ကမ္ဘာတဝှမ်းသို့ ပျံ့နှံ့ ရောက်ရှိလာသော်လည်း မုစ်လင်မ်အများစု ၏ ကုရ်အာန်ကို ဥပေက္ခာပြု၍ အစဉ်အလာ ဘာသာရေးကျမ်းများအပေါ် လိုက်နာခြင်းကြောင့် အတိတ်ခေတ်က ရစူလ် ဦးဆောင်ခဲ့သော မုအ်မင်န်အုပ်စုတို့ ရရှိခဲ့ကြသည့် အောင်မြင်မှုမျိုးကို မရနိုင်ဘဲ၊ ကမ္ဘာတစ်ဝှမ်း နိမ့်ကျနေသည်ကို ကြုံတွေ့နေကြရပေသည်။ မုအ်မင်န်အုပ်စုများ အနေနှင့် အစဉ်အလာ ဘာသာရေးကျမ်းများကို လွှတ်ချ၍ ကုရ်အာန် တစ်ကျမ်းတည်းဖြင့် အစ္စလာမ်ကို ပြန်လည် ပုံဖော်နိုင်မည် ဆိုလျှင်ရစူလ် ဦးဆောင်ခဲ့သော မုအ်မင်န်အုပ်စုတို့ ရရှိခဲ့ကြ သည့် အောင်မြင်မှုမျိုးကို မုချ ပြန်လည် ရရှိကြပေမည်။#ဤအာယဟ်ကို ဆရာဦးဌေးလွင်ဦးက အောက်ပါအတိုင်း ဖွင့်ဆိုထားသည်။ ၎င်းကို တိုက်ရိုက် ကူးယူ ဖော်ပြလိုက်ပါသည်။# (၁၀၁၇) ဤသုတ်တော်မှ (وَانْشَقَّ الْقَمَرُ) ဝမ်ရှာ့က်ကာလ် ကမာ့ရ် ဟူသော ဝါကျကို ဆရာတော် တစ်ချို့က လသည် နှစ်ခြမ်းကွဲခဲ့ပြီဟု ပြန်ဆိုကြပေသည်။ ဤဝါကျသည် လ ကွဲခြမ်းခဲ့ပြီဟု ဆို၍၊ နှစ်ခြမ်း၊ သုံးခြမ်း၊ လေးခြမ်း စသည်ဖြင့် ပြောဆို မထားပေ။ ဤသုတ်တော်၏ ဆိုလိုချက်များမှာ (၁) လ နတ်မင်းကို ကိုးကွယ် သော ဘာသာရေး အင်အားစုများ ပြိုလဲသွားခဲ့ပြီ၊ ဓမ္မအစစ်အမှန်ကို ဆောင်သော အစ္စလာမ် သာသနာ ပေါ် ထွန်းလာပြီ၊ မိစ္ဆာတရားကို မက်မောနေသူများအတွက် အဆုံးသတ်ရန်မှာ အချိန်နီးကပ်လာပြီဟု ဖြစ်ပေ သည်။ (၂) လ သည် ပင်မဂြိုဟ်ကြီးတစ်ခုမှ ကွဲခြမ်း ဖြာထွက်သွားသော ဂြိုဟ်ငယ် ဂြိုဟ်ရံတစ်ခု ဖြစ်သည်။ (၃) သို့မဟုတ် လ မျက်နှာပြင်တွင် ကွဲအက်ကြောင်းများ ရှိနေသည်ဟူသော အဓိပ္ပာယ်များကို ပေးပေသည်။#[ဆရာဦးဌေးလွင်ဦး၏ ကုရ်အံ ဘာသာပြန်၊ [54:1] ၏ အောက်ခြေ မှတ်စု]# #"
1710,"‘တန်ဖိုးမဲ့စေရန် ပြုလုပ်ခြင်းခံရသူ’ ဟူသည် နူးဟ် ရစူလ် (A.S) ကို ရည်ညွှန်းသည်။ သူသည် အလ္လာဟ်၏ လမ်းညွှန်မှုနှင့်အညီ ရေယာဉ်တည်ဆောက်စဉ်က ပြက်ရယ်ပြု ခံရခြင်းကို ဆိုလိုသည်။ [ကြည့်။ [11:37-45]] ဤနေရာတွင် (كُفِرَ) ‘ကုဖှိရ’ ကို “တန်ဖိုးမဲ့စေရန် ပြုလုပ်ခံရခြင်း” ဟူသော အဓိပ္ပာယ်အပြင် “သွေဖည် ဆန့်ကျင် ခံရခြင်း” ဟုလည်း အနက်ကောက်နိုင်သည်။ ထိုအခါ သူ့မျိုးတူစုက သူတည်ဆောက်လျက် ရှိသော လုံခြုံမှု အခြေခံသော လူ့ဘောင်ကို သွေဖည်လျက် ရှိသည်ဟု ဆိုလိုရာ ရောက်သည်။ [(كُفْرٌ) ‘ကုဖှ်ရ်’ နှင့်ပတ်သက်၍ [2:6] အောက်ခြေ (၂၈) ကိုပါ တွဲဖက် လေ့လာသင့်သည်]"
1711,"‘သူတို့၏ အဖော်’ ဟူသည် သူတို့၏ ခေါင်းဆောင်ကို ရည်ညွှန်းသည်။"
1712,"‘ခြံခတ်သူ၏ သွေ့ခြောက် ကြေမွနေသော သစ်လက်သစ်ခက်များပမာ’ ဟူသည် လုံးဝ သုံးစား မရအောင် ပျက် စီးသွားခြင်းကို ခိုင်းနှိုင်းပြခြင်း ဖြစ်သည်။ စင်စစ် ခြံခတ်သူသည် လုံခြုံရန်ဟူသော ရည်ရွယ်ချက်ရှိနေသော်လည်း သွေ့ ခြောက် ကြေမွနေသော သစ်လက်သစ်ခက်များက လုံခြုံမှုကို ပေးနိုင်သည် မဟုတ်ကြောင်း မီးမောင်းထိုးပြခြင်း ဖြစ် ၏။ ဤသည်ကား အလ္လာ့ဟ် စည်းမျဉ်း ဥပဒေများနှင့် ယှဉ်ပြိုင်ရန် ဖန်တီးကြသော လူသား၏ စည်းမျဉ်းဥပဒေများမှာ အားနည်း ချည့်နဲ့နေသည်ကို ရည်ညွှန်းခြင်း ဖြစ်၏။"
1713,"(اَلزُّبُرُ) ‘ဇုဗုရ်’ သည် (زَبُوْرٌ) ‘ဇဗူးရ်’ ၏ ဗဟုဝုစ်-အများကိန်း ဖြစ်သည်။ [4:163] တွင် ဒါဝူးဒ် ရစူလ် (A.S) အား ချီးမြှင့်ခဲ့သော ဥပဒေကျမ်းအတွက် သုံးနှုန်းထားသည်။ စင်စစ် ဒါဝူးဒ် ရစူလ် (A.S) ချီးမြှင့်ခံရသော (زَبُوْرٌ) ‘ဇဗူးရ်’သည် (اَلزُّبُرُ) ‘ဇုဗုရ်’ ၏ တစိတ်တဒေသသာလျှင် ဖြစ်၏။ (اَلزَّبْرُ) ‘ဇဗ်ရ်’ ဟူသည် “ရေးသားခြင်း” “မှတ်တမ်းတင်ခြင်း” ကို ရည်ညွှန်းသည်။ ထိုရှုထောင့်အရ ဤစကားလုံးသည် (كَتَبَ) ‘ကသဗ’ နှင့် အနက်တူ ဖြစ်၏။ ဤအာယဟ်တွင် (اَلزُّبُرُ) ‘ဇုဗုရ်’ သည် “ရေးသားထားသော” “မှတ်တမ်းတင်ထားသော” ဟူသည့် အနက်သဘောအပြင် “အခန်းကဏ္ဍအလိုက်” စီမံထားခြင်း ဟူ၍လည်း ဖြစ်ပေါ်သည်။ ဆိုလိုသည်မှာ လူသား၏ ဆောင်ရွက်ချက်များကို အမျိုးအစားခွဲ၍ အခန်းကဏ္ဍ အလိုက် မှတ်တမ်း တင်ထားသည် ဟူ၍ဖြစ်သည်။ ၎င်းကို ခေတ်သစ် သိပ္ပံက D.N.A ဟု ဖော်ထုတ်နိုင်ခဲ့သည်။"
1714,"‘ဥယျာဉ်များနှင့် စမ်းရေချောင်း၌ ရှိခြင်း’ ဟူသည် လိုအပ်ချက်မှန်သမျှ ပြည့်ဝလျက် ဘဝ၏ ရှင်သန်မှုကို စဉ်ဆက် မပြတ် ရရှိနေခြင်းအား ရည်ညွှန်းသည်။ ဤအခြေအနေသည် ပစ္စုပ္ပန်၌ရော အနာဂတ် ပြန်လည် ရှင်သန်မှု၌ ပါ ကြုံတွေ့ရမည့် မွတ်သ်သကီးန်တို့၏ အောင်မြင်မှုပင် ဖြစ်၏။"
